Complexity,Merge-Ordenado,Merge-Desordenado,Quick-Ordenado,Quick-Desordenado,Cycle-Ordenado,Cycle-Desordenado,Radix-Ordenado,Radix-Desordenado,Gnome-Ordenado,Gnome-Desordenado
1060,0.000869,0.001776,0.008385,0.000574,0.002451,0.005473,0.000166,0.000218,0.000006,0.008755
1066,0.00102,0.001794,0.008667,0.000775,0.002444,0.007133,0.00017,0.000214,0.000006,0.010114
1072,0.001069,0.001796,0.008502,0.00041,0.00258,0.009626,0.000166,0.00024,0.000007,0.009656
1078,0.000615,0.001526,0.009214,0.000406,0.002489,0.006848,0.000191,0.000244,0.000006,0.010135
1084,0.000707,0.001154,0.008117,0.000413,0.002511,0.005628,0.000206,0.000242,0.000006,0.010749
1090,0.000635,0.001158,0.00827,0.000407,0.002556,0.006139,0.000163,0.000226,0.000006,0.010344
1096,0.000618,0.003193,0.00894,0.000466,0.002599,0.005582,0.000194,0.000238,0.000009,0.009522
1102,0.000627,0.000675,0.008563,0.00059,0.002615,0.005966,0.000211,0.00024,0.000018,0.009379
1108,0.00061,0.00052,0.00957,0.000744,0.002452,0.005711,0.000236,0.003774,0.000014,0.00942
1114,0.00062,0.000502,0.014443,0.000609,0.002686,0.005746,0.000261,0.000223,0.000006,0.01014
1120,0.000614,0.000517,0.008928,0.000616,0.002701,0.005937,0.000282,0.000217,0.000006,0.013119
1126,0.000628,0.000514,0.009473,0.000599,0.002734,0.006266,0.000238,0.000233,0.000006,0.010798
1132,0.000623,0.000524,0.009555,0.000451,0.002783,0.005936,0.000242,0.000234,0.000008,0.013803
1138,0.000345,0.000539,0.01025,0.000445,0.002872,0.006752,0.000281,0.000238,0.000008,0.012656
1144,0.000337,0.000547,0.00993,0.000467,0.002901,0.006427,0.00029,0.000234,0.000006,0.011379
1150,0.000342,0.000543,0.008407,0.00048,0.002908,0.006556,0.000273,0.000228,0.000006,0.011587
1156,0.000337,0.000548,0.008259,0.000469,0.002926,0.007602,0.00022,0.000232,0.000006,0.011806
1162,0.000345,0.000558,0.008511,0.000457,0.00295,0.008009,0.000224,0.000234,0.000006,0.010388
1168,0.000355,0.000555,0.010686,0.000474,0.003019,0.008255,0.000312,0.000279,0.000006,0.010619
1174,0.000383,0.000562,0.009004,0.000506,0.003251,0.008394,0.000214,0.00026,0.000006,0.01034
1180,0.000352,0.000571,0.009376,0.000512,0.00308,0.007241,0.000212,0.000239,0.000006,0.010717
1186,0.00036,0.000577,0.010822,0.000504,0.003446,0.006589,0.000217,0.000221,0.000006,0.011049
1192,0.000359,0.00057,0.010691,0.000503,0.003113,0.00681,0.000241,0.000247,0.000006,0.011125
1198,0.000362,0.000709,0.009829,0.000516,0.003159,0.006918,0.000232,0.000254,0.000006,0.011735
1204,0.000366,0.000591,0.015764,0.000506,0.003191,0.007216,0.000215,0.000245,0.000006,0.015167
1210,0.000379,0.000581,0.015037,0.000504,0.003217,0.007523,0.000237,0.000229,0.000006,0.01332
1216,0.000377,0.000612,0.011782,0.000522,0.003243,0.00928,0.000278,0.000225,0.000006,0.016384
1222,0.000379,0.000586,0.009246,0.000529,0.003308,0.009247,0.000299,0.000222,0.000006,0.01464
1228,0.000381,0.000691,0.009613,0.000518,0.003429,0.008688,0.000225,0.000242,0.000006,0.014827
1234,0.000401,0.000638,0.010027,0.000514,0.004248,0.008838,0.000219,0.000262,0.000006,0.013095
1240,0.000419,0.000595,0.009742,0.000523,0.003832,0.009082,0.000219,0.000263,0.000006,0.011949
1246,0.000641,0.000649,0.010057,0.000536,0.005271,0.009816,0.000241,0.000243,0.000006,0.012845
1252,0.000725,0.000653,0.011049,0.000526,0.004922,0.011763,0.000221,0.000226,0.000006,0.013241
1258,0.000398,0.000626,0.012208,0.000533,0.003313,0.013058,0.000235,0.000234,0.000006,0.013199
1264,0.000413,0.000629,0.012166,0.000525,0.002584,0.008237,0.000223,0.000236,0.000007,0.014734
1270,0.000398,0.000637,0.012358,0.000545,0.002493,0.007941,0.000226,0.00024,0.000006,0.017723
1276,0.000397,0.000644,0.011054,0.000549,0.002446,0.008365,0.000225,0.000224,0.000006,0.017826
1282,0.000399,0.000635,0.011695,0.000536,0.002473,0.008516,0.000223,0.000235,0.000006,0.015318
1288,0.000399,0.000652,0.011332,0.000549,0.002668,0.007791,0.000226,0.000229,0.000006,0.015751
1294,0.000401,0.000655,0.010558,0.000643,0.002617,0.008058,0.000228,0.000237,0.000006,0.014207
1300,0.00041,0.000657,0.010699,0.000546,0.002604,0.008828,0.000225,0.000238,0.000006,0.016265
1306,0.000419,0.000841,0.01242,0.000566,0.002613,0.008472,0.000233,0.000253,0.000006,0.014482
1312,0.000412,0.000842,0.011463,0.000546,0.002656,0.008171,0.000224,0.000242,0.000006,0.020187
1318,0.000423,0.000648,0.012474,0.000561,0.002706,0.00829,0.000225,0.000241,0.000006,0.016161
1324,0.000416,0.000672,0.011799,0.000555,0.002808,0.010552,0.000236,0.000241,0.000006,0.015562
1330,0.000425,0.000657,0.013928,0.000566,0.002676,0.010243,0.00023,0.000245,0.000006,0.01403
1336,0.000438,0.000656,0.012182,0.000579,0.002692,0.010706,0.000224,0.000247,0.000006,0.016542
1342,0.00046,0.000659,0.013689,0.000558,0.002712,0.010961,0.000226,0.000248,0.000006,0.015336
1348,0.000424,0.00083,0.012447,0.000615,0.002748,0.010564,0.000228,0.000247,0.000006,0.014907
1354,0.000426,0.000878,0.014275,0.000571,0.003629,0.010666,0.00023,0.00024,0.000006,0.014433
1360,0.000433,0.000811,0.013351,0.000578,0.003061,0.011047,0.000231,0.000242,0.000006,0.019355
1366,0.000647,0.000626,0.014611,0.000571,0.002847,0.011253,0.000229,0.000246,0.000006,0.01643
1372,0.000756,0.000804,0.013673,0.000598,0.002946,0.011164,0.000243,0.000245,0.000006,0.021128
1378,0.000777,0.000741,0.013561,0.000673,0.003029,0.011357,0.000228,0.000258,0.000006,0.016605
1384,0.000932,0.000683,0.013896,0.000707,0.003314,0.011428,0.000235,0.000273,0.000006,0.018032
1390,0.000738,0.000932,0.013805,0.000807,0.003388,0.011989,0.000237,0.0003,0.000006,0.016658
1396,0.000709,0.001065,0.014011,0.000908,0.003183,0.011127,0.000236,0.000279,0.000006,0.023562
1402,0.000665,0.001072,0.014411,0.000825,0.003151,0.011424,0.000304,0.00025,0.000006,0.020282
1408,0.000847,0.001078,0.015713,0.000797,0.003171,0.011692,0.000294,0.000255,0.000006,0.015154
1414,0.001102,0.001096,0.013986,0.000958,0.004524,0.012575,0.000304,0.000255,0.000006,0.016192
